FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.125000000,0.660491943,0.615819216,0.700869560
0.125787579,0.660718858,0.616229951,0.701342285
0.126575158,0.662011385,0.621198952,0.703020155
0.127362736,0.663121760,0.622423768,0.703513265
0.128150315,0.663121760,0.622423768,0.703513265
0.128937894,0.664142847,0.623924255,0.704931974
0.129725473,0.665086329,0.623987019,0.705217421
0.130513051,0.665086329,0.623987019,0.705217421
0.131300630,0.666017652,0.625528336,0.706293702
0.132088209,0.667012930,0.626411796,0.706956506
0.132875788,0.667012930,0.626411796,0.706956506
0.133663366,0.668079197,0.627118647,0.708369255
0.134450945,0.669036031,0.629176855,0.709565222
0.135238524,0.670058072,0.629425645,0.710619450
0.136026103,0.670058072,0.629425645,0.710619450
0.136813681,0.671007216,0.631877005,0.711487114
0.137601260,0.671966553,0.632768333,0.712260246
0.138388839,0.671966553,0.632768333,0.712260246
0.139176418,0.672927499,0.634247720,0.713546157
0.139963996,0.673852444,0.634346783,0.714661956
0.140751575,0.673852444,0.634346783,0.714661956
0.141539154,0.674838483,0.635303915,0.715201437
0.142326733,0.675808132,0.636140645,0.715744674
0.143114311,0.676720202,0.637630641,0.717223644
0.143901890,0.676720202,0.637630641,0.717223644
0.144689469,0.677617311,0.638297856,0.717223644
0.145477048,0.678562105,0.639235258,0.718937457
0.146264626,0.678562105,0.639235258,0.718937457
0.147052205,0.679345071,0.640502334,0.719794333
0.147839784,0.680114746,0.641004860,0.720651269
0.148627363,0.680114746,0.641004860,0.720651269
0.149414941,0.681046009,0.641728997,0.721282303
0.150202520,0.681965709,0.641985357,0.722365022
0.150990099,0.682899892,0.643658340,0.722950816
0.151777678,0.682899892,0.643658340,0.722950816
0.152565257,0.683795869,0.644867539,0.722950816
0.153352835,0.684671998,0.644867539,0.724770665
0.154140414,0.684671998,0.644867539,0.724770665
0.154927993,0.685478032,0.645801544,0.724867702
0.155715572,0.686322033,0.646299481,0.726141095
0.156503150,0.686322033,0.646299481,0.726141095
0.157290729,0.687147558,0.648117840,0.726510048
0.158078308,0.688014805,0.649277687,0.726970971
0.158865887,0.688850105,0.650551319,0.728363335
0.159653465,0.688850105,0.650551319,0.728363335
0.160441044,0.689720809,0.650833309,0.728363335
0.161228623,0.690483212,0.651490092,0.728448272
0.162016202,0.690483212,0.651490092,0.728448272
