FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.125000000,0.700366318,0.644979894,0.747541010
0.125787579,0.700632870,0.645240009,0.747980595
0.126575158,0.701788068,0.646711648,0.748796165
0.127362736,0.703018188,0.648458123,0.749244690
0.128150315,0.703018188,0.648458123,0.749244690
0.128937894,0.704206944,0.649511993,0.749598742
0.129725473,0.705441713,0.650126159,0.750883400
0.130513051,0.705441713,0.650126159,0.750883400
0.131300630,0.706636131,0.652649283,0.751666665
0.132088209,0.707743943,0.653133273,0.752659559
0.132875788,0.707743943,0.653133273,0.752659559
0.133663366,0.708867967,0.656626523,0.753533542
0.134450945,0.709970593,0.658395350,0.753533542
0.135238524,0.711014867,0.659222484,0.753533542
0.136026103,0.711014867,0.659222484,0.753533542
0.136813681,0.712028801,0.661703885,0.753926694
0.137601260,0.713138700,0.661959410,0.755718946
0.138388839,0.713138700,0.661959410,0.755718946
0.139176418,0.714192152,0.664665520,0.757117450
0.139963996,0.715274274,0.665820658,0.757417083
0.140751575,0.715274274,0.665820658,0.757417083
0.141539154,0.716173291,0.667469859,0.758169949
0.142326733,0.717181802,0.668137670,0.758833945
0.143114311,0.718213677,0.669211209,0.759105980
0.143901890,0.718213677,0.669211209,0.759105980
0.144689469,0.719105840,0.669211209,0.759162307
0.145477048,0.719981074,0.669787228,0.760761619
0.146264626,0.719981074,0.669787228,0.760761619
0.147052205,0.720866144,0.670785546,0.762295067
0.147839784,0.721827745,0.672117054,0.762295067
0.148627363,0.721827745,0.672117054,0.762295067
0.149414941,0.722783267,0.674280882,0.762455523
0.150202520,0.723585486,0.674418628,0.762520194
0.150990099,0.724394679,0.676198483,0.762520194
0.151777678,0.724394679,0.676198483,0.762520194
0.152565257,0.725281656,0.676844776,0.763668418
0.153352835,0.726144671,0.678729057,0.764234900
0.154140414,0.726144671,0.678729057,0.764234900
0.154927993,0.726987600,0.680555582,0.764802635
0.155715572,0.727775037,0.682259500,0.765027344
0.156503150,0.727775037,0.682259500,0.765027344
0.157290729,0.728540659,0.685000002,0.765625000
0.158078308,0.729268551,0.685140550,0.766177714
0.158865887,0.730063319,0.687029302,0.767040551
0.159653465,0.730063319,0.687029302,0.767040551
0.160441044,0.730784893,0.687550187,0.767156839
0.161228623,0.731495976,0.688097298,0.767872155
0.162016202,0.731495976,0.688097298,0.767872155
0.162803780,0.732159853,0.689019263,0.768766165
0.163591359,0.732792020,0.690355301,0.770395279
0.164378938,0.732792020,0.690355301,0.770395279
0.165166517,0.733450651,0.690376580,0.770491779
0.165954095,0.734049678,0.691176474,0.771035612
0.166741674,0.734749913,0.692047358,0.771241844
0.167529253,0.734749913,0.692047358,0.771241844
0.168316832,0.735429168,0.694256783,0.772304833
0.169104410,0.736051440,0.694512665,0.773534656
0.169891989,0.736051440,0.694512665,0.773534656
0.170679568,0.736795306,0.695431471,0.773828745
0.171467147,0.737383425,0.696790516,0.774366856
0.172254725,0.737383425,0.696790516,0.774366856
0.173042304,0.738030314,0.698239744,0.774636507
0.173829883,0.738686621,0.698924720,0.775668681
0.174617462,0.739316881,0.699346423,0.776198924
0.175405041,0.739316881,0.699346423,0.776198924
0.176192619,0.739813805,0.700942576,0.777087033
0.176980198,0.740383983,0.702127635,0.777087033
0.177767777,0.740383983,0.702127635,0.777087033
0.178555356,0.741029918,0.702559590,0.777961910
0.179342934,0.741589904,0.702946007,0.779739797
0.180130513,0.741589904,0.702946007,0.779739797
0.180918092,0.742205322,0.703383148,0.780918717
0.181705671,0.742781878,0.704169929,0.780918717
0.182493249,0.743388176,0.705192626,0.782527864
0.183280828,0.743388176,0.705192626,0.782527864
0.184068407,0.744000196,0.706090033,0.782527864
0.184855986,0.744540930,0.707037628,0.784362137
0.185643564,0.744540930,0.707037628,0.784362137
0.186431143,0.745127439,0.707705200,0.784386635
0.187218722,0.745712757,0.707941949,0.785185158
0.188006301,0.745712757,0.707941949,0.785185158
0.188793879,0.746263564,0.708786607,0.785335660
0.189581458,0.746821404,0.710217774,0.785467148
0.190369037,0.747356176,0.710485160,0.785953164
0.191156616,0.747356176,0.710485160,0.785953164
0.191944194,0.747960806,0.711250961,0.787075400
0.192731773,0.748527467,0.711331666,0.787085533
0.193519352,0.748527467,0.711331666,0.787085533
0.194306931,0.749089062,0.712832570,0.787326396
0.195094509,0.749597549,0.713656366,0.788732409
0.195882088,0.749597549,0.713656366,0.788732409
0.196669667,0.750168025,0.714033544,0.789300382
0.197457246,0.750786662,0.714537442,0.790294647
0.198244824,0.751371801,0.714773715,0.790294647
0.199032403,0.751371801,0.714773715,0.790294647
0.199819982,0.751940548,0.716080427,0.790483475
0.200607561,0.752463281,0.716465890,0.791769564
0.201395140,0.752463281,0.716465890,0.791769564
0.202182718,0.753045440,0.716465890,0.791821539
0.202970297,0.753670871,0.716639221,0.793286204
0.203757876,0.753670871,0.716639221,0.793286204
0.204545455,0.754241943,0.716666639,0.793597281
0.205333033,0.754924238,0.717687070,0.794439793
0.206120612,0.755540133,0.717948735,0.795282245
0.206908191,0.755540133,0.717948735,0.795282245
0.207695770,0.756120682,0.717948735,0.795414448
0.208483348,0.756699741,0.719255686,0.795539021
0.209270927,0.756699741,0.719255686,0.795539021
0.210058506,0.757344127,0.719603002,0.796188891
0.210846085,0.757955194,0.720403016,0.796707809
0.211633663,0.757955194,0.720403016,0.796707809
0.212421242,0.758581400,0.720420659,0.796954334
0.213208821,0.759149373,0.720420659,0.797800362
0.213996400,0.759772599,0.721094429,0.798960149
0.214783978,0.759772599,0.721094429,0.798960149
0.215571557,0.760380864,0.722084343,0.800174534
0.216359136,0.761036217,0.722662449,0.801003337
0.217146715,0.761036217,0.722662449,0.801003337
0.217934293,0.761645973,0.722662449,0.801115215
0.218721872,0.762233555,0.723300993,0.801115215
0.219509451,0.762233555,0.723300993,0.801115215
0.220297030,0.762852311,0.723300993,0.801953793
0.221084608,0.763393164,0.723738611,0.801953793
0.221872187,0.763977289,0.724497974,0.801953793
0.222659766,0.763977289,0.724497974,0.801953793
0.223447345,0.764566302,0.726130664,0.803511679
0.224234923,0.765196562,0.726582289,0.803738296
0.225022502,0.765196562,0.726582289,0.803738296
0.225810081,0.765794575,0.726624429,0.803886950
0.226597660,0.766386926,0.727500021,0.804006994
0.227385239,0.766386926,0.727500021,0.804006994
0.228172817,0.766992569,0.728448272,0.805653691
0.228960396,0.767624021,0.729113936,0.805653691
0.229747975,0.768200576,0.729818761,0.806707859
0.230535554,0.768200576,0.729818761,0.806707859
