FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.125000000,0.701372445,0.637263000,0.751277685
0.125787579,0.701569557,0.637959838,0.751504719
0.126575158,0.702948868,0.641444564,0.752144098
0.127362736,0.704207182,0.645054042,0.753001690
0.128150315,0.704207182,0.645054042,0.753001690
0.128937894,0.705429435,0.646959484,0.753820062
0.129725473,0.706681252,0.647967458,0.754995644
0.130513051,0.706681252,0.647967458,0.754995644
0.131300630,0.707962453,0.650081575,0.755300343
0.132088209,0.709112585,0.652356923,0.757523656
0.132875788,0.709112585,0.652356923,0.757523656
0.133663366,0.710282743,0.653278708,0.757679164
0.134450945,0.711464226,0.654975533,0.757819474
0.135238524,0.712545991,0.656606853,0.758649111
0.136026103,0.712545991,0.656606853,0.758649111
0.136813681,0.713675916,0.657094598,0.759999990
0.137601260,0.714787722,0.659037113,0.759999990
0.138388839,0.714787722,0.659037113,0.759999990
0.139176418,0.715864241,0.661500812,0.761077344
0.139963996,0.716890395,0.663043499,0.761948526
0.140751575,0.716890395,0.663043499,0.761948526
0.141539154,0.717886746,0.665000021,0.762100101
0.142326733,0.718818247,0.666115701,0.762682736
0.143114311,0.719770253,0.666119754,0.762920439
0.143901890,0.719770253,0.666119754,0.762920439
0.144689469,0.720607460,0.666941464,0.763806283
0.145477048,0.721461058,0.669166684,0.764150918
0.146264626,0.721461058,0.669166684,0.764150918
0.147052205,0.722409725,0.669297576,0.764855683
0.147839784,0.723277926,0.670120895,0.765217364
0.148627363,0.723277926,0.670120895,0.765217364
0.149414941,0.724125624,0.672454596,0.765273333
0.150202520,0.725014508,0.672454596,0.766156435
0.150990099,0.725883543,0.675791264,0.767006814
0.151777678,0.725883543,0.675791264,0.767006814
0.152565257,0.726669133,0.676159501,0.767006814
0.153352835,0.727490902,0.676276743,0.768313468
0.154140414,0.727490902,0.676276743,0.768313468
0.154927993,0.728283226,0.679307520,0.768313468
0.155715572,0.729130208,0.679558039,0.769624591
0.156503150,0.729130208,0.679558039,0.769624591
0.157290729,0.729874253,0.681610942,0.770464122
0.158078308,0.730630457,0.682370842,0.770689666
0.158865887,0.731352150,0.682866573,0.771551728
0.159653465,0.731352150,0.682866573,0.771551728
0.160441044,0.732074082,0.684518814,0.772151887
0.161228623,0.732812345,0.686161458,0.772413790
0.162016202,0.732812345,0.686161458,0.772413790
0.162803780,0.733401239,0.690048933,0.772413790
0.163591359,0.734052956,0.690140843,0.773344636
0.164378938,0.734052956,0.690140843,0.773344636
0.165166517,0.734735250,0.690140843,0.774137914
0.165954095,0.735370934,0.690864623,0.774683535
0.166741674,0.736028492,0.691735566,0.775187373
0.167529253,0.736028492,0.691735566,0.775187373
0.168316832,0.736654282,0.693459392,0.776157796
0.169104410,0.737341285,0.695111871,0.776157796
0.169891989,0.737341285,0.695111871,0.776157796
0.170679568,0.738026619,0.695268631,0.777385175
0.171467147,0.738636255,0.695833325,0.777586222
0.172254725,0.738636255,0.695833325,0.777586222
0.173042304,0.739296854,0.696472526,0.778738141
0.173829883,0.739959240,0.697292864,0.779069781
0.174617462,0.740549564,0.698744774,0.779746830
0.175405041,0.740549564,0.698744774,0.779746830
0.176192619,0.741104186,0.698744774,0.781059921
0.176980198,0.741789162,0.700258374,0.781533360
0.177767777,0.741789162,0.700258374,0.781533360
0.178555356,0.742414534,0.700598776,0.781533360
0.179342934,0.743028581,0.701454222,0.782392025
0.180130513,0.743028581,0.701454222,0.782392025
0.180918092,0.743628561,0.702196896,0.783101022
0.181705671,0.744231224,0.702360868,0.784549356
0.182493249,0.744882822,0.702842355,0.785179019
0.183280828,0.744882822,0.702842355,0.785179019
0.184068407,0.745452285,0.703035295,0.785714269
0.184855986,0.746085107,0.703703701,0.786131978
0.185643564,0.746085107,0.703703701,0.786131978
0.186431143,0.746637940,0.705047309,0.786516845
0.187218722,0.747229457,0.705053866,0.787530780
0.188006301,0.747229457,0.705053866,0.787530780
0.188793879,0.747823715,0.705451608,0.788034201
0.189581458,0.748361707,0.706322789,0.788732409
0.190369037,0.748988867,0.706779659,0.790069699
0.191156616,0.748988867,0.706779659,0.790069699
0.191944194,0.749563217,0.707375109,0.790429056
0.192731773,0.750214994,0.707986712,0.791144550
0.193519352,0.750214994,0.707986712,0.791144550
0.194306931,0.750765383,0.709650576,0.791843653
0.195094509,0.751381218,0.709982812,0.792672038
0.195882088,0.751381218,0.709982812,0.792672038
0.196669667,0.751986146,0.710007906,0.792672038
0.197457246,0.752623916,0.711583912,0.793273151
0.198244824,0.753193259,0.711719394,0.793637156
0.199032403,0.753193259,0.711719394,0.793637156
0.199819982,0.753785789,0.712146401,0.794849813
0.200607561,0.754368782,0.712707162,0.795379519
0.201395140,0.754368782,0.712707162,0.795379519
0.202182718,0.754983127,0.713216960,0.796204627
0.202970297,0.755533338,0.713712931,0.796204627
0.203757876,0.755533338,0.713712931,0.796204627
0.204545455,0.756076455,0.713722408,0.796216667
0.205333033,0.756647468,0.714520097,0.796357632
0.206120612,0.757226825,0.714527011,0.796625197
0.206908191,0.757226825,0.714527011,0.796625197
0.207695770,0.757778585,0.714946091,0.797936380
0.208483348,0.758338392,0.715440571,0.799086750
0.209270927,0.758338392,0.715440571,0.799086750
0.210058506,0.758921325,0.715762258,0.799086750
0.210846085,0.759508073,0.716312051,0.799086750
0.211633663,0.759508073,0.716312051,0.799086750
0.212421242,0.760112822,0.716981113,0.800173759
0.213208821,0.760735571,0.716981113,0.801687777
